iter	Passed	Remaining
0	57	57055
1	57	28899
2	58	19545
3	59	14848
4	60	12081
5	61	10118
6	61	8715
7	61	7666
8	62	6844
9	62	6183
10	62	5646
11	63	5204
12	63	4828
13	64	4508
14	64	4226
15	64	3979
16	65	3781
17	65	3595
18	67	3480
19	67	3318
20	68	3171
21	69	3077
22	69	2950
23	69	2836
24	70	2732
25	70	2635
26	71	2578
27	72	2501
28	72	2426
29	72	2355
30	73	2292
31	74	2248
32	74	2187
33	76	2169
34	77	2124
35	77	2078
36	78	2032
37	78	1984
38	78	1937
39	79	1916
40	80	1882
41	81	1847
42	81	1813
43	81	1778
44	82	1742
45	82	1707
46	82	1673
47	82	1644
48	83	1615
49	83	1587
50	83	1560
51	84	1535
52	84	1510
53	84	1486
54	85	1467
55	86	1451
56	86	1434
57	87	1416
